name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
chicago,2017-10-01T00:00:00,13.3,13.3,5.5,58.93,0,0,,0,0,,10.2,124,1026.6,24.2,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T01:00:00,12.9,12.9,5,58.57,0,0,,0,0,,12.6,134,1026.3,24.2,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T02:00:00,12.8,12.8,4.4,56.68,0,0,,0,0,,12.9,134,1025.8,6.2,16,,,,,Clear,clear-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T03:00:00,12.3,12.3,4.7,59.91,0,0,,0,0,,11.8,143,1025.8,24.2,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T04:00:00,11.9,11.9,4.6,60.95,0,0,,0,0,,11.4,141,1025.7,24.2,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T05:00:00,11.1,11.1,4.9,65.84,0,0,,0,0,,12.6,138,1025.3,24.2,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T06:00:00,10.9,10.9,4.6,65.15,0,0,,0,0,,9.8,148,1025.3,24.2,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T07:00:00,11.1,11.1,4.6,64.26,0,0,,0,0,,13,148,1025.3,70.8,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T08:00:00,12,12,4.6,60.56,0,0,,0,0,,14,150,1025.3,50.7,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T09:00:00,13.9,13.9,5,55.12,0,0,,0,0,,16.5,162,1025.4,50.7,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T10:00:00,15.7,15.7,5.6,50.87,0,0,,0,0,,15.9,170,1025.2,50.7,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T11:00:00,18.3,18.3,5.6,43.2,0,0,,0,0,,19.8,174,1024.2,50.7,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T12:00:00,18.9,18.9,4.9,39.93,0,0,,0,0,,17.4,166,1023.7,53.8,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T13:00:00,19.7,19.7,4.1,35.73,0,0,,0,0,29.5,19.1,139,1022.6,53.8,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T14:00:00,20.8,20.8,3.5,32.21,0,0,,0,0,37.1,21.7,159,1021.7,61.7,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T15:00:00,21.1,21.1,3.7,32.05,0,0,,0,0,,18.9,125,1020.6,61.7,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T16:00:00,21.1,21.1,3.4,31.18,0,0,,0,0,33.5,18.8,143,1020,73.8,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T17:00:00,21.4,21.4,4.2,32.57,0,0,,0,0,,16.1,140,1020,58.7,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T18:00:00,20.8,20.8,4.2,33.63,0,0,,0,0,,16.7,117,1020.1,61.7,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T19:00:00,19.5,19.5,7.7,46.32,0,0,,0,0,,13.7,99,1020.1,61.7,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T20:00:00,19.5,19.5,5,38.51,0,0,,0,0,,17.1,110,1019.5,78.4,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T21:00:00,18.6,18.6,5,40.79,0,0,,0,0,,14.9,112,1019.5,33.1,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T22:00:00,18.3,18.3,5.1,41.83,0,0,,0,0,,17.4,129,1019.2,37.3,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-01T23:00:00,16.9,16.9,4.7,44.46,0,0,,0,0,,13.4,134,1019.3,33.1,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T00:00:00,16.4,16.4,4.6,45.4,0,0,,0,0,,11.4,146,1019.3,33.1,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T01:00:00,16.4,16.4,5.4,48.27,0,0,,0,0,,10.2,160,1019.5,40.6,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T02:00:00,16.5,16.5,6.8,52.6,0,0,,0,0,,13,157,1019.4,69.3,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T03:00:00,16.5,16.5,7.9,56.81,0,0,,0,0,,10.1,151,1019.3,72.3,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T04:00:00,16.8,16.8,8.6,58.2,0,0,,0,0,,9.1,159,1019.7,65,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T05:00:00,16.5,16.5,9.2,62.19,0,0,,0,0,,10.2,150,1019.7,60.4,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T06:00:00,17.1,17.1,9.9,62.81,0,0,,0,0,,11.4,175,1019.8,76.9,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T07:00:00,17.9,17.9,10.6,62.22,0,0,,0,0,,15.2,173,1020.5,61.7,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T08:00:00,18.8,18.8,11.1,60.81,0,0,,0,0,29.5,14.4,185,1020.8,37.3,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T09:00:00,20.1,20.1,11.1,56.02,0,0,,0,0,,17,192,1021.8,66.2,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T10:00:00,21.9,21.9,10.6,48.49,0,0,,0,0,31.7,17.2,202,1022,70.7,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T11:00:00,24.3,24.3,10.4,41.34,0,0,,0,0,38.9,16.8,195,1021.4,61.7,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T12:00:00,25.8,25.8,9.9,36.85,0,0,,0,0,31.7,21.9,188,1020.9,37.3,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T13:00:00,27,26.7,10.9,36.8,0,0,,0,0,,24.9,182,1020.6,37.3,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T14:00:00,27.9,27.3,11,34.97,0,0,,0,0,38.1,23.4,180,1019.9,57.4,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T15:00:00,28,27.3,11.3,35.47,0,0,,0,0,37.1,27.1,178,1019.8,60.4,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T16:00:00,27.7,27.1,10.8,34.95,0,0,,0,0,37.1,24.3,167,1019.6,66.1,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T17:00:00,27.2,26.8,10.8,36,0,0,,0,0,37.8,23.1,161,1019.7,51.8,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T18:00:00,27,26.6,10.6,36,0,0,,0,0,35.3,25,150,1020,71.8,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T19:00:00,25.9,25.9,10.2,37.26,0,0,,0,0,31.7,17.9,159,1020.5,78.4,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T20:00:00,25.3,25.3,9.6,36.89,0,0,,0,0,,16.7,158,1020.9,78.4,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T21:00:00,24.2,24.2,9,37.92,0,0,,0,0,,19.7,160,1021.4,78.4,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T22:00:00,23.4,23.4,8.3,38.03,0,0,,0,0,,21.3,160,1021.4,44,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-02T23:00:00,22.4,22.4,8.1,39.97,0,0,,0,0,,17.1,163,1021.2,24.2,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-10-03T00:00:00,21.6,21.6,8.5,42.95,0,0,,0,0,,20.7,170,1021,0,16,,,,,Clear,clear-night,"KORD,72530094846,74466504838"
chicago,2017-10-03T01:00:00,21.6,21.6,11.5,52.74,0,0,,0,0,35.3,20.9,180,1021.2,0,16,,,,,Clear,clear-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
