name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
chicago,2017-07-01T00:00:00,22.8,22.8,19.4,81.28,0,0,,0,0,17.6,9.4,276,1009,27.5,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T01:00:00,22,22,18.9,82.71,0,0,,0,0,19.8,11.9,253,1009.5,24.2,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T02:00:00,21.4,21.4,17.9,80.31,0,0,,0,0,21.2,14.3,273,1009.4,69.5,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T03:00:00,20.9,20.9,17.5,80.73,0,0,,0,0,21.2,10,276,1009,58.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T04:00:00,20.3,20.3,17,81.31,0,0,,0,0,20.9,12.1,272,1009.2,58.7,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T05:00:00,19.7,19.7,16.7,82.81,0,0,,0,0,22.3,11.9,281,1010.1,52.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T06:00:00,19.6,19.6,16.7,83.4,0,0,,0,0,22,10.5,277,1011,45.3,16,12.4,0,0,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T07:00:00,20.3,20.3,17.1,81.91,0,0,,0,0,22,10.5,254,1011.4,37.3,16,99.8,0.4,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T08:00:00,22.4,22.4,17,71.4,0,0,,0,0,23.8,11,272,1011.6,50.7,16,288.7,1,3,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T09:00:00,23.8,23.8,16.7,64.71,0,0,,0,0,23.8,20.1,275,1012.3,43.3,16,451.9,1.6,5,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T10:00:00,25.1,25.1,16.2,57.82,0,0,,0,0,22.7,16.9,295,1012.3,24.2,16,634.5,2.3,6,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T11:00:00,26.4,26.4,14.4,47.5,0,0,,0,0,29.5,16.8,309,1012.5,24.2,16,795.7,2.9,8,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T12:00:00,27.5,27.6,14.9,46.13,0,0,,0,0,27.7,18.6,249,1012.6,24.2,16,895.6,3.2,9,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T13:00:00,28.1,27.8,13.7,41.12,0,0,,0,0,36.6,23.3,263,1012.7,56.2,16,843.6,3,8,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T14:00:00,27.8,27.6,13.9,42.6,0,0,,0,0,30.6,20.7,271,1012.7,81.7,16,836.1,3,8,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T15:00:00,28,27.4,11.6,36.05,0,0,,0,0,38.9,26.5,265,1012.8,50,16,784.9,2.8,8,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T16:00:00,28.1,27.5,11.8,36.5,0,0,,0,0,41,30.3,269,1012.6,47.3,16,733.6,2.6,7,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T17:00:00,27.8,27.3,11.9,37.34,0,0,,0,0,39.5,25.5,255,1012.5,41,16,560.4,2,6,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T18:00:00,27,26.8,11.7,38.54,0,0,,0,0,38.6,24.3,280,1012.8,36.3,16,431.6,1.6,4,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T19:00:00,26.3,26.3,11,38.38,0,0,,0,0,35.7,25.1,271,1013,30.9,16,257,0.9,3,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-07-01T20:00:00,25.2,25.2,11.2,41.4,0,0,,0,0,29.5,16.8,270,1013.2,30.9,16,101.9,0.4,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
