name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
chicago,2019-09-01T00:00:00,19.2,19.2,16.3,82.99,0.891,100,rain,0,0,,12.5,96,1022.5,81.2,12.7,0,0,0,,"Rain, Partially cloudy",rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-01T01:00:00,18.7,18.7,16.7,87.96,1.808,100,rain,0,0,,10.1,94,1022.5,43.3,10.9,0,0,0,,"Rain, Partially cloudy",rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-01T02:00:00,18.2,18.2,16.7,90.76,2.525,100,rain,0,0,,15.4,97,1022.1,82.7,9.5,0,0,0,,"Rain, Partially cloudy",rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-01T03:00:00,17.5,17.5,16.6,94.76,3.382,100,rain,0,0,,18.9,87,1021.3,67.2,10.8,0,0,0,,"Rain, Partially cloudy",rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-01T04:00:00,17.3,17.3,16.1,92.39,1.845,100,rain,0,0,,13.5,91,1021.7,74.7,6.4,0,0,0,,"Rain, Partially cloudy",rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-01T05:00:00,16.8,16.8,15.8,93.39,4.658,100,rain,0,0,,12.9,87,1021.2,94.2,12.1,0,0,0,,"Rain, Overcast",rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-01T06:00:00,16.8,16.8,15.7,93.17,0.718,100,rain,0,0,,11.5,95,1020.6,71.8,16,0,0,0,,"Rain, Partially cloudy",rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-01T07:00:00,16.8,16.8,15.2,90.23,0.427,100,rain,0,0,,13.2,87,1020.2,61.3,16,13,0,0,,"Rain, Partially cloudy",rain,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T08:00:00,17.3,17.3,15.5,88.98,0,0,,0,0,,6.7,103,1020.4,62.7,16,35,0.1,0,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T09:00:00,18.4,18.4,15.1,80.94,0,0,,0,0,,2.8,40,1020.7,66.2,16,135,0.5,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T10:00:00,19.1,19.1,14.8,76.15,0,0,,0,0,,11.5,115,1020.4,67.1,16,245,0.9,2,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T11:00:00,21,21,15.7,71.61,0,0,,0,0,,7,134,1019.9,62.8,16,575,2.1,6,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T12:00:00,21.6,21.6,16,70.75,0,0,,0,0,,6.6,138,1019.6,70.6,16,543,2,5,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T13:00:00,22.1,22.1,16.2,68.84,0,0,,0,0,,6.1,246,1019.2,79.3,16,318,1.1,3,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T14:00:00,21.4,21.4,16.6,74.28,0,0,,0,0,,8,291,1018.8,91.2,16,250,0.9,3,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T15:00:00,21.8,21.8,16.5,71.75,0,0,,0,0,,6.1,268,1018.2,100,16,342,1.2,3,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T16:00:00,21.9,21.9,16.6,71.89,0,0,,0,0,,2.1,357,1017.9,96.2,16,151,0.5,2,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T17:00:00,21.7,21.7,16.8,73.87,0,0,,0,0,,3,28,1017.8,100,16,154,0.6,2,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T18:00:00,21.5,21.5,16.8,74.74,0,0,,0,0,,3.4,26,1017.6,100,16,93,0.3,1,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T19:00:00,21,21,16.5,75.35,0,0,,0,0,,7.7,76,1017.6,91.4,16,37,0.1,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-01T20:00:00,20.8,20.8,16.1,74.32,0,0,,0,0,,5.2,51,1017.6,70.3,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-01T21:00:00,20.2,20.2,16.1,77.26,0,0,,0,0,,5.2,24,1017.8,78.3,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-01T22:00:00,19.5,19.5,16.1,80.47,0,0,,0,0,,0,0,1018,46.5,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-01T23:00:00,19.3,19.3,16.1,81.92,0,0,,0,0,,0,0,1018.2,38.9,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-02T00:00:00,18.7,18.7,15.9,84.01,0,0,,0,0,,0,0,1018.1,24.2,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-02T01:00:00,18.2,18.2,16.2,87.9,0,0,,0,0,,0,0,1018.2,0,10.3,0,0,0,,Clear,clear-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-02T02:00:00,17,17,15.5,90.71,0,0,,0,0,,6.2,271,1018.3,0,8.8,0,0,0,,Clear,clear-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-02T03:00:00,16.9,16.9,15.7,92.48,0,0,,0,0,,3.5,282,1018.3,0,7.1,0,0,0,,Clear,clear-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-02T04:00:00,17,17,15.8,92.65,0,0,,0,0,,5.2,243,1018.3,6.2,7.7,0,0,0,,Clear,clear-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-02T05:00:00,16.6,16.6,15.9,95.64,0,0,,0,0,,6.1,266,1018.9,12.2,7.7,0,0,0,,Clear,clear-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-02T06:00:00,17.2,17.2,16,92.74,0,0,,0,0,,5.7,266,1019,36.2,8.9,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-09-02T07:00:00,17.2,17.2,16.4,95.35,0,0,,0,0,,7.1,238,1019.3,34.8,12.1,31,0.1,0,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-02T08:00:00,19.2,19.2,17.1,87.67,0,0,,0,0,,8,274,1019.4,24.2,14,176,0.6,2,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-02T09:00:00,21.6,21.6,17.6,77.97,0,0,,0,0,,11.2,271,1019.3,24.2,16,373,1.3,4,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-02T10:00:00,23.7,23.7,17.6,68.85,0,0,,0,0,,11.4,292,1019.1,24.2,16,544,2,5,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-02T11:00:00,25.2,25.2,17.9,63.62,0,0,,0,0,,11.1,320,1019.1,24.2,16,692,2.5,7,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-02T12:00:00,26.1,26.1,17.6,59.46,0,0,,0,0,,12.2,277,1018.8,52.4,16,550,2,6,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-09-02T13:00:00,25.9,25.9,17.1,58.33,0,0,,0,0,,10.1,305,1018.7,81.7,16,661,2.4,7,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
