name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
chicago,2019-07-01T00:00:00,22.7,22.7,20.7,88.33,0,0,,0,0,,5.8,258,1014.9,55.2,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-07-01T01:00:00,22.5,22.5,20.7,89.36,0,0,,0,0,,7.7,189,1014,26.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-07-01T02:00:00,22.5,22.5,20.3,87.58,0,0,,0,0,,11.9,199,1013.6,26.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-07-01T03:00:00,21.6,21.6,20.3,92.4,0,0,,0,0,,10,270,1014.8,26.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-07-01T04:00:00,21.5,21.5,20.1,92.2,0,0,,0,0,,12.9,245,1014.8,33.1,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-07-01T05:00:00,21,21,20.1,94.27,0,0,,0,0,,10.2,268,1015.1,33.1,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2019-07-01T06:00:00,21.4,21.4,20.1,92.57,0,0,,0,0,,6.2,273,1015.6,37.3,14.7,16,0.1,0,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-07-01T07:00:00,22.5,22.5,20.2,87.04,0,0,,0,0,,6.2,262,1015.8,51.8,16,91,0.3,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-07-01T08:00:00,24.3,24.3,19.2,73.22,0,0,,0,0,,12.1,277,1016.2,78.4,16,246,0.9,2,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-07-01T09:00:00,26.5,26.5,19.4,64.78,0,0,,0,0,,14,300,1015.9,58.7,16,296,1.1,3,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-07-01T10:00:00,27.6,29.4,20.4,64.8,0,0,,0,0,29.5,16.1,313,1015.8,50.7,16,656,2.4,7,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-07-01T11:00:00,28.3,30.4,20.8,63.66,0,0,,0,0,35.3,19.1,298,1015.9,61.3,16,639,2.3,6,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-07-01T12:00:00,30.1,32.1,20.1,55.11,0,0,,0,0,,12.3,354,1014.7,50.7,16,587,2.1,6,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-07-01T13:00:00,30.4,31.9,19.4,51.9,0,0,,0,0,,11.1,360,1014,37.3,16,277,1,3,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-07-01T14:00:00,31.4,33,19.3,48.74,0,0,,0,0,,12.5,318,1014.2,37.3,16,74,0.3,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-07-01T15:00:00,31.3,33.5,20.2,51.69,0,0,,0,0,,15.1,267,1013.6,49.8,16,99,0.4,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-07-01T16:00:00,31.7,35,21.5,54.83,0,0,,0,0,,16,240,1013.1,54,16,118,0.4,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2019-07-01T17:00:00,31,33.7,20.9,54.9,0,0,,0,0,,15.5,242,1012.8,33.1,16,40,0.1,0,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
