name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
chicago,2017-08-01T00:00:00,22.9,22.9,16.7,68.06,0,0,,0,0,,0,0,1019,41,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T01:00:00,23.3,23.3,17.2,68.26,0,0,,0,0,,0,0,1019.1,76.1,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T02:00:00,23.2,23.2,17,68.45,0,0,,0,0,,0,0,1019,75.7,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T03:00:00,22.5,22.5,17,71.27,0,0,,0,0,,1.2,311,1018.7,61.7,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T04:00:00,21.8,21.8,17.5,76.39,0,0,,0,0,,0,0,1018.5,76.7,16,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T05:00:00,21.9,21.9,17,74.04,0,0,,0,0,,4.9,227,1018.3,54.4,15.5,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T06:00:00,21.1,21.1,17.2,78.15,0,0,,0,0,,0,0,1018.4,54.3,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T07:00:00,22.8,22.8,17.1,70.26,0,0,,0,0,,5.2,155,1018.4,65.6,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T08:00:00,23.8,23.8,17.3,67.17,0,0,,0,0,,6.1,234,1018.9,61.3,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T09:00:00,25.4,25.4,16.7,58.55,0,0,,0,0,,7.9,220,1018.7,43.3,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T10:00:00,27,27.7,17.2,55.03,0,0,,0,0,,14.8,214,1018.5,37.3,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T11:00:00,27.7,28.3,17,51.98,0,0,,0,0,,7.8,287,1018,54.3,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T12:00:00,27.1,27.9,17.3,55.12,5.327,100,rain,0,0,64.8,10.6,234,1017.6,65,16,,,,,"Rain, Partially cloudy",rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T13:00:00,27.8,28.3,16.8,51.18,0,0,,0,0,,11.9,291,1017.1,57.7,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T14:00:00,29.1,29.1,15.7,44.45,0,0,,0,0,,9,244,1016.4,54.4,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2017-08-01T15:00:00,29,29.2,16.3,46.18,0,0,,0,0,,15.4,244,1015.9,47.9,16,,,,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
