name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
chicago,2018-05-01T00:00:00,18.6,18.6,-0.6,27.43,0,0,,0,0,37.6,23.8,200,1014.6,44,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-05-01T01:00:00,18.1,18.1,-0.3,28.77,0,0,,0,0,35.3,21.6,202,1014.5,44,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-05-01T02:00:00,17.5,17.5,0.1,30.81,0,0,,0,0,,15.9,209,1014.7,69.5,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-05-01T03:00:00,17.6,17.6,0.1,30.59,0,0,,0,0,33.5,17.4,209,1015.1,78.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-05-01T04:00:00,16.6,16.6,0.7,34.13,0,0,,0,0,37.1,16.2,196,1015.3,44,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-05-01T05:00:00,15.5,15.5,1.2,38.03,0,0,,0,0,,16.2,200,1015.1,24.2,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-05-01T06:00:00,14.8,14.8,1.8,41.27,0,0,,0,0,,16.3,192,1015.2,24.2,16,11,0,0,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-05-01T07:00:00,15.4,15.4,2,40.26,0,0,,0,0,31.7,19.1,192,1015.2,24.2,16,72,0.3,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-05-01T08:00:00,17.3,17.3,3,38.4,0,0,,0,0,,19,201,1015.5,24.2,16,264,1,3,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-05-01T09:00:00,20.1,20.1,5.1,37.53,0,0,,0,0,35.3,20.9,218,1015.4,24.2,16,463,1.7,5,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-05-01T10:00:00,22.7,22.7,7.1,36.55,0,0,,0,0,37.1,22.9,211,1015,24.2,16,637,2.3,6,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-05-01T11:00:00,24.9,24.9,8.6,35.51,0,0,,0,0,38.3,21.7,223,1014.7,24.2,16,779,2.8,8,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-05-01T12:00:00,27,26.6,9.7,33.62,0,0,,0,0,41.2,26.9,228,1014.5,24.2,16,872,3.1,9,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-05-01T13:00:00,27.6,26.9,9.7,32.69,0,0,,0,0,46.6,30.5,228,1014.3,44,16,887,3.2,9,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-05-01T14:00:00,28.6,27.5,8.5,28.48,0,0,,0,0,53,34.9,205,1013.7,72.8,16,829,3,8,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-05-01T15:00:00,29.4,28,8.1,26.52,0,0,,0,0,48.2,30,205,1012.8,78.4,16,684,2.5,7,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-05-01T16:00:00,29.4,27.9,7.2,24.8,0,0,,0,0,49.4,28.2,211,1012,80.9,16,531,1.9,5,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
