name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
chicago,2018-09-01T00:00:00,23.5,23.5,20,80.73,0,0,,0,0,,20.9,168,1015,85.6,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-09-01T01:00:00,23,23,20,83.11,0,0,,0,0,,13.6,183,1015.6,78.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-09-01T02:00:00,23,23,19.9,82.71,0,0,,0,0,,16.5,185,1015.3,38.2,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-09-01T03:00:00,22.9,22.9,19.9,83.58,0,0,,0,0,,17.3,179,1014.5,88.1,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-09-01T04:00:00,22.4,22.4,20,86.18,0,0,,0,0,,14.5,179,1014.6,88.1,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-09-01T05:00:00,22.4,22.4,20,86.18,0,0,,0,0,,14.8,178,1014.2,88.1,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-09-01T06:00:00,22.4,22.4,20,86.18,0,0,,0,0,,16.2,182,1014.5,88.1,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-09-01T07:00:00,22.9,22.9,20.1,84.46,0,0,,0,0,,17.4,190,1015.1,96.6,16,6,0,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2018-09-01T08:00:00,23.3,23.3,20.7,85.1,0.032,100,rain,0,0,,13.6,201,1015.3,95.3,15.5,10,0,0,,"Rain, Overcast",rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2018-09-01T09:00:00,23.6,23.6,21.2,86.35,0.242,100,rain,0,0,,12.3,229,1016.2,81.9,15.3,12,0,0,,"Rain, Partially cloudy",rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2018-09-01T10:00:00,23.1,23.1,21,88.24,1.188,100,rain,0,0,,9.8,228,1015.9,96.6,14.9,8,0,0,,"Rain, Overcast",rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2018-09-01T11:00:00,23.6,23.6,21.6,88.34,0.232,100,rain,0,0,,11.6,208,1016.3,88,16,55,0.2,1,,"Rain, Partially cloudy",rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
