name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
chicago,2020-07-01T00:00:00,24.7,24.7,21,80.01,0,0,,0,0,,8.2,70,1011.1,47.3,14.7,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2020-07-01T01:00:00,24.5,24.5,21.3,82.64,0,0,,0,0,,7.8,72,1011.2,52.9,14.7,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2020-07-01T02:00:00,24.1,24.1,20.9,82.54,0,0,,0,0,,5.7,60,1011.1,47.3,14.7,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2020-07-01T03:00:00,24.2,24.2,20.4,79.61,0,0,,0,0,,9.7,98,1011.1,54.7,14.7,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2020-07-01T04:00:00,24.1,24.1,19,73.21,0,0,,0,0,,9,117,1011.4,54.7,14.7,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2020-07-01T05:00:00,23.5,23.5,18.6,74.27,0,0,,0,0,,10.8,128,1011.8,50.7,14.7,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2020-07-01T06:00:00,23.2,23.2,18.5,75.21,0,0,,0,0,,9.7,114,1012.1,78.4,16,18,0.1,0,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2020-07-01T07:00:00,24.1,24.1,18.1,69.31,0,0,,0,0,,12.3,137,1012.5,52.9,16,140,0.5,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2020-07-01T08:00:00,25.3,25.3,18.1,64.47,0,0,,0,0,,12.7,133,1012.5,52.9,16,337,1.2,3,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2020-07-01T09:00:00,26.6,26.6,18.5,60.99,0,0,,0,0,,8.6,106,1012.7,44,16,521,1.9,5,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
